id,email,nombre,rol,puntos,racha,password,edad,genero,lugar,desafio,sentimiento,mascota,tiempo,tokens,ultimaConexion,createdAt
user-066,nicolas.sandoval@correo.com,Nicolas Sandoval,usuario,412,23,User123!,22,Masculino,Colombia,Finanzas cotidianas,Motivado,,+30 minutos,329,2026-06-23T09:31:30,2025-10-06T05:00:47
user-067,marcos.lencina@correo.com,Marcos Lencina,usuario,54,3,User123!,27,Masculino,Zarate,Geometria basica,Confundido,geometria,,55,2026-03-23T01:46:54,2025-07-06T04:16:26
user-068,lucas.ramirez@correo.com,Lucas Ramirez,usuario,220,14,User123!,40,Masculino,Catamarca,Finanzas cotidianas,Confundido,geometria,10 minutos,192,2026-02-06T02:47:14,2024-11-18T20:11:21
admin-001,sol@correo.com,Sol,admin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
admin-002,sofia@correo.com,Sofia,admin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
admin-003,romina@correo.com,Romina,admin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
admin-004,lisandro@correo.com,Lisandro,admin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
admin-005,isaac@correo.com,Isaac,admin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
admin-006,hernan@correo.com,Hernán,admin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
admin-007,flor@correo.com,Flor,admin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
admin-008,may@correo.com,May,admin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
admin-009,tony@correo.com,Tony,admin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
superadmin-001,cesar@correo.com,César,superadmin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
superadmin-002,gustavo@correo.com,Gustavo,superadmin,0,0,Admin123!,,,,,,,,0,2026-05-20T10:00:00Z,2026-07-27T20:59:14.090Z
